Site	Week	Plant_species	Bird_species	Fruit_availability_avgWeek	Frugivory_degree	Observed_frugivory_visits	Random_mean_visits	Random_SD_visits	Random_2.5Quant	Random_97.5Quant	Selection_strength	Pvalue
Argentina	2	Aristotelia_chilensis	Anairetes_parulus	215.6	0	2	2.4608	1.30362315	0	5	-0.353	0.724
Argentina	2	Azara_microphylla	Anairetes_parulus	333.928571	0	1	3.8131	1.41914403	1	7	-1.982	0.047
Argentina	2	Maytenus_sp_boaria	Anairetes_parulus	67.3333333	0	4	0.7553	0.82297609	0	3	3.943	0
Argentina	2	Schinus_patagonicus	Anairetes_parulus	40	0	1	0.4592	0.65633714	0	2	0.824	0.41
Argentina	3	Aristotelia_chilensis	Anairetes_parulus	216.25	0	2	6.5339	2.19821155	2.975	11	-2.063	0.039
Argentina	3	Azara_microphylla	Anairetes_parulus	303.928571	0	4	9.2083	2.44710236	5	14	-2.128	0.033
Argentina	3	Maytenus_sp_boaria	Anairetes_parulus	104.8	0	15	3.1966	1.6763739	0	7	7.041	0
Argentina	3	Prunus_cerasus	Anairetes_parulus	34.2727273	0	1	1.0233	0.99370813	0	3	-0.023	0.982
Argentina	3	Schinus_patagonicus	Anairetes_parulus	37.5	0	4	1.1327	1.03353642	0	3	2.774	0.006
Argentina	4	Maytenus_sp_boaria	Anairetes_parulus	128.333333	0	8	2.4114	1.3336146	0	5	4.191	0
Argentina	4	Prunus_cerasus	Anairetes_parulus	30.5714286	0	2	0.5742	0.73521998	0	2	1.939	0.053
Argentina	5	Azara_microphylla	Anairetes_parulus	61	0	2	5.649	2.21225867	2	10	-1.649	0.099
Argentina	5	Maytenus_sp_boaria	Anairetes_parulus	282.833333	0	31	26.0948	3.21702469	20	32	1.525	0.127
Argentina	5	Prunus_avium	Anairetes_parulus	3.66666667	0	2	0.3421	0.57974236	0	2	2.86	0.004
Argentina	5	Prunus_cerasus	Anairetes_parulus	17.65	0	8	1.6052	1.24092181	0	4	5.153	0
Argentina	6	Maytenus_sp_boaria	Anairetes_parulus	58.625	0	22	9.2479	2.5138571	5	14	5.073	0
Argentina	6	Prunus_cerasus	Anairetes_parulus	6.48387097	0	6	1.0176	0.98426984	0	3	5.062	0
Argentina	7	Maytenus_sp_boaria	Anairetes_parulus	50	0	15	10.0896	1.81143589	6	13	2.711	0.007
Argentina	5	Maytenus_sp_boaria	Aphrastura_spinicauda	282.833333	0	2	1.2186	0.6915648	0	2	1.13	0.258
Argentina	6	Maytenus_sp_boaria	Aphrastura_spinicauda	58.625	0	6	2.293	1.22666274	0	5	3.022	0.003
Argentina	6	Prunus_cerasus	Aphrastura_spinicauda	6.48387097	0	1	0.2554	0.49476795	0	1	1.505	0.132
Argentina	7	Maytenus_sp_boaria	Aphrastura_spinicauda	50	0	1	0.6759	0.468061	0	1	0.692	0.489
Argentina	3	Maytenus_sp_boaria	Colorhamphus_parvirostris	104.8	0	2	0.2404	0.4609003	0	1	3.818	0
Argentina	4	Maytenus_sp_boaria	Colorhamphus_parvirostris	128.333333	0	10	2.4182	1.35495105	0	5	5.596	0
Argentina	5	Maytenus_sp_boaria	Colorhamphus_parvirostris	282.833333	0	20	13.9362	2.3681407	9	18	2.561	0.01
Argentina	5	Prunus_cerasus	Colorhamphus_parvirostris	17.65	0	3	0.8802	0.9176776	0	3	2.31	0.021
Argentina	6	Maytenus_sp_boaria	Colorhamphus_parvirostris	58.625	0	9	2.9374	1.40615752	0	6	4.311	0
Argentina	1	Prunus_avium	Curaeus_curaeus	8.2	0	3	0.0306	0.17454709	0	1	17.012	0
Argentina	1	Rubus_idaeus	Curaeus_curaeus	168.314286	0	1	0.6466	0.73195766	0	2	0.483	0.629
Argentina	1	Aristotelia_chilensis	Elaenia_albiceps	222.611111	50	35	27.1234	4.57585689	19	36	1.721	0.085
Argentina	1	Azara_microphylla	Elaenia_albiceps	414.466667	50	81	50.4682	5.5012376	40	61	5.55	0
Argentina	1	Maytenus_sp_boaria	Elaenia_albiceps	50	50	2	6.0363	2.40581818	2	11	-1.678	0.093
Argentina	1	Prunus_cerasus	Elaenia_albiceps	82.35	50	2	9.9452	3.01647259	5	16	-2.634	0.008
Argentina	1	Rubus_idaeus	Elaenia_albiceps	168.314286	50	1	20.4554	4.15585586	13	29	-4.681	0
Argentina	1	Schinus_patagonicus	Elaenia_albiceps	26	50	3	3.1655	1.75551073	0	7	-0.094	0.925
Argentina	2	Aristotelia_chilensis	Elaenia_albiceps	215.6	50	55	92.9192	7.99712866	77	109	-4.742	0
Argentina	2	Azara_microphylla	Elaenia_albiceps	333.928571	50	203	144.1733	8.77727584	127	161	6.702	0
Argentina	2	Maytenus_sp_boaria	Elaenia_albiceps	67.3333333	50	39	29.0981	5.13393729	20	40	1.929	0.054
Argentina	2	Prunus_avium	Elaenia_albiceps	8.46153846	50	2	3.6345	1.89859691	0	8	-0.861	0.389
Argentina	2	Prunus_cerasus	Elaenia_albiceps	36.8181818	50	1	15.8964	3.92219395	9	24	-3.798	0
Argentina	2	Schinus_patagonicus	Elaenia_albiceps	40	50	3	17.2785	4.05131819	10	26	-3.524	0
Argentina	3	Aristotelia_chilensis	Elaenia_albiceps	216.25	50	68	72.2055	7.35455496	58	87	-0.572	0.567
Argentina	3	Azara_microphylla	Elaenia_albiceps	303.928571	50	169	101.6635	8.05945179	86	117	8.355	0
Argentina	3	Maytenus_sp_boaria	Elaenia_albiceps	104.8	50	44	35.0529	5.57415543	25	46	1.605	0.108
Argentina	3	Prunus_avium	Elaenia_albiceps	7.55555556	50	1	2.5237	1.5744479	0	6	-0.968	0.333
Argentina	3	Rubus_idaeus	Elaenia_albiceps	52.8550725	50	1	17.6541	4.08398348	10	26	-4.078	0
Argentina	3	Tristerix_corymbosus	Elaenia_albiceps	101.301887	50	4	33.9387	5.43125144	24	45	-5.512	0
Argentina	4	Aristotelia_chilensis	Elaenia_albiceps	112.944444	50	38	53.0422	6.48631069	41	66	-2.319	0.02
Argentina	4	Azara_microphylla	Elaenia_albiceps	120.076923	50	152	56.3527	6.61829909	43	69	14.452	0
Argentina	4	Maytenus_sp_boaria	Elaenia_albiceps	128.333333	50	51	60.2128	6.69196491	47	73	-1.377	0.169
Argentina	4	Prunus_cerasus	Elaenia_albiceps	30.5714286	50	5	14.3202	3.65931838	8	22	-2.547	0.011
Argentina	4	Schinus_patagonicus	Elaenia_albiceps	40	50	1	18.7372	4.21023857	11	27	-4.213	0
Argentina	4	Tristerix_corymbosus	Elaenia_albiceps	96.8727273	50	1	45.3349	6.11976202	34	58	-7.245	0
Argentina	5	Aristotelia_chilensis	Elaenia_albiceps	25.5555556	50	1	11.3192	3.32421666	5	18	-3.104	0.002
Argentina	5	Azara_microphylla	Elaenia_albiceps	61	50	109	27.0501	4.86254609	18	37	16.853	0
Argentina	5	Maytenus_sp_boaria	Elaenia_albiceps	282.833333	50	83	125.5317	7.04950812	111	139	-6.033	0
Argentina	5	Prunus_avium	Elaenia_albiceps	3.66666667	50	2	1.6337	1.26778746	0	4	0.289	0.773
Argentina	5	Prunus_cerasus	Elaenia_albiceps	17.65	50	8	7.8285	2.74605933	3	14	0.062	0.951
Argentina	5	Schinus_patagonicus	Elaenia_albiceps	25	50	3	11.1421	3.26860459	5	18	-2.491	0.013
Argentina	5	Tristerix_corymbosus	Elaenia_albiceps	50.627451	50	1	22.4947	4.4921921	14	31	-4.785	0
Argentina	6	Aristotelia_chilensis	Elaenia_albiceps	21.6666667	50	8	27.4572	4.94261177	18	38	-3.937	0
Argentina	6	Azara_microphylla	Elaenia_albiceps	16.8235294	50	128	21.3404	4.4560648	13	31	23.936	0
Argentina	6	Maytenus_sp_boaria	Elaenia_albiceps	58.625	50	76	74.2067	6.98623331	61	88	0.257	0.797
Argentina	6	Prunus_cerasus	Elaenia_albiceps	6.48387097	50	1	8.2531	2.80425155	3	14	-2.586	0.01
Argentina	6	Rubus_idaeus	Elaenia_albiceps	3	50	3	3.783	1.92532639	1	8	-0.407	0.684
Argentina	6	Schinus_patagonicus	Elaenia_albiceps	23.5	50	9	29.8123	5.06462573	20	40	-4.109	0
Argentina	7	Aristotelia_chilensis	Elaenia_albiceps	3	50	2	4.8099	2.16467794	1	9.025	-1.298	0.194
Argentina	7	Azara_microphylla	Elaenia_albiceps	19.1666667	50	23	30.6826	4.76836775	21	40	-1.611	0.107
Argentina	7	Maytenus_sp_boaria	Elaenia_albiceps	50	50	94	80.2926	5.09328768	70	90	2.691	0.007
Argentina	2	Maytenus_sp_boaria	Melanodera_xanthogramma	67.3333333	0	1	0.0961	0.29474307	0	1	3.067	0.002
Argentina	1	Galium_hypocarpium	Phrygilus_patagonicus	48	0	2	0.3682	0.59402361	0	2	2.747	0.006
Argentina	1	Maytenus_sp_boaria	Phrygilus_patagonicus	50	0	4	0.3848	0.59863578	0	2	6.039	0
Argentina	1	Prunus_cerasus	Phrygilus_patagonicus	82.35	0	2	0.6527	0.7773951	0	2	1.733	0.083
Argentina	2	Aristotelia_chilensis	Phrygilus_patagonicus	215.6	0	1	3.0893	1.46285321	0	6	-1.428	0.153
Argentina	2	Azara_microphylla	Phrygilus_patagonicus	333.928571	0	4	4.7544	1.58225503	2	8	-0.477	0.633
Argentina	2	Maytenus_sp_boaria	Phrygilus_patagonicus	67.3333333	0	3	0.9517	0.91741554	0	3	2.233	0.026
Argentina	2	Prunus_cerasus	Phrygilus_patagonicus	36.8181818	0	2	0.5175	0.70252623	0	2	2.11	0.035
Argentina	4	Aristotelia_chilensis	Phrygilus_patagonicus	112.944444	0	1	0.4352	0.58807784	0	2	0.96	0.337
Argentina	4	Maytenus_sp_boaria	Phrygilus_patagonicus	128.333333	0	1	0.4902	0.61216128	0	2	0.833	0.405
Argentina	5	Azara_microphylla	Phrygilus_patagonicus	61	0	2	0.7884	0.82431389	0	3	1.47	0.142
Argentina	5	Maytenus_sp_boaria	Phrygilus_patagonicus	282.833333	0	4	3.6349	1.1958867	1	6	0.305	0.76
Argentina	6	Maytenus_sp_boaria	Phrygilus_patagonicus	58.625	0	1	0.3262	0.4688449	0	1	1.437	0.151
Argentina	7	Maytenus_sp_boaria	Phrygilus_patagonicus	50	0	2	2.0092	0.81534155	0	3	-0.011	0.991
Argentina	7	Prunus_cerasus	Phrygilus_patagonicus	2	0	1	0.0805	0.28218383	0	1	3.259	0.001
Argentina	1	Prunus_cerasus	Scelorchilus_rubecula	82.35	0	1	0.0806	0.27223345	0	1	3.377	0.001
Argentina	5	Maytenus_sp_boaria	Troglodytes_aedon	282.833333	0	1	0.6139	0.48687832	0	1	0.793	0.428
Argentina	6	Maytenus_sp_boaria	Troglodytes_aedon	58.625	0	1	0.3295	0.47005515	0	1	1.426	0.154
Argentina	1	Azara_microphylla	Turdus_falcklandii	414.466667	50	5	4.8837	1.69223541	2	8	0.069	0.945
Argentina	1	Prunus_avium	Turdus_falcklandii	8.2	50	3	0.0942	0.30287874	0	1	9.594	0
Argentina	1	Prunus_cerasus	Turdus_falcklandii	82.35	50	3	0.968	0.94966636	0	3	2.14	0.032
Argentina	1	Rubus_idaeus	Turdus_falcklandii	168.314286	50	1	1.97	1.26982725	0	5	-0.764	0.445
Argentina	3	Azara_microphylla	Turdus_falcklandii	303.928571	50	5	1.7573	1.06944429	0	4	3.032	0.002
Argentina	4	Prunus_cerasus	Turdus_falcklandii	30.5714286	50	1	0.0581	0.23394415	0	1	4.026	0
Argentina	6	Sorbus_aucuparia	Turdus_falcklandii	47.5	50	1	0.2635	0.44055324	0	1	1.672	0.095
Argentina	6	Maytenus_sp_boaria	Xolmis_pyrope	58.625	20	8	4.9645	1.83961359	2	9	1.65	0.099
Argentina	6	Prunus_cerasus	Xolmis_pyrope	6.48387097	20	7	0.55	0.72495004	0	2	8.897	0
Argentina	7	Maytenus_sp_boaria	Xolmis_pyrope	50	20	1	0.6713	0.46976417	0	1	0.7	0.484
Brazil	1	Miconia_albicans	Camptostoma_obsoletum	77.99038462	30	4	2.0159	1.097892402	0	4	1.807	0.071
Brazil	1	Schefflera_tuberosa	Camptostoma_obsoletum	43.02531646	30	1	1.1096	0.927940703	0	3	-0.118	0.906
Brazil	3	Miconia_albicans	Camptostoma_obsoletum	37.95192308	30	1	0.2503	0.433207429	0	1	1.731	0.083
Brazil	4	Miconia_albicans	Camptostoma_obsoletum	36.70192308	30	1	0.2824	0.450189412	0	1	1.594	0.111
Brazil	1	Miconia_albicans	Conirostrum_speciosum	77.99038462	10	4	1.6268	0.974482797	0	3	2.435	0.015
Brazil	6	Byrsonima_coccolobifolia	Conirostrum_speciosum	27.0952381	10	1	0.7677	0.792590392	0	2	0.293	0.77
Brazil	6	Miconia_albicans	Conirostrum_speciosum	11.375	10	3	0.327	0.550182942	0	2	4.858	0
Brazil	1	Miconia_albicans	Coryphospingus_cucullatus	77.99038462	50	6	2.8463	1.308299459	0	5	2.411	0.016
Brazil	1	Schefflera_tuberosa	Coryphospingus_cucullatus	43.02531646	50	1	1.5662	1.097878907	0	4	-0.516	0.606
Brazil	2	Miconia_albicans	Coryphospingus_cucullatus	60.68269231	50	3	1.4247	0.950799828	0	3	1.657	0.098
Brazil	2	Schefflera_tuberosa	Coryphospingus_cucullatus	9.569620253	50	1	0.2244	0.461157139	0	1	1.682	0.093
Brazil	3	Miconia_albicans	Coryphospingus_cucullatus	37.95192308	50	1	0.2525	0.434468211	0	1	1.72	0.085
Brazil	4	Miconia_albicans	Coryphospingus_cucullatus	36.70192308	50	1	0.2822	0.450092678	0	1	1.595	0.111
Brazil	1	Miconia_albicans	Cyanocorax_cristatellus	77.99038462	40	1	0.4084	0.49156241	0	1	1.204	0.229
Brazil	1	Miconia_albicans	Elaenia_sp	77.99038462	50	6	4.8619	1.683897842	2	8	0.676	0.499
Brazil	1	Myrcia_guianensis	Elaenia_sp	70	50	1	4.3252	1.650732399	1	8	-2.014	0.044
Brazil	1	Schefflera_tuberosa	Elaenia_sp	43.02531646	50	5	2.6859	1.451155324	0	6	1.595	0.111
Brazil	2	Byrsonima_coccolobifolia	Elaenia_sp	25.85714286	50	1	1.3539	1.068910215	0	4	-0.331	0.741
Brazil	2	Miconia_albicans	Elaenia_sp	60.68269231	50	3	3.183	1.40886816	1	6	-0.13	0.897
Brazil	2	Myrcia_guianensis	Elaenia_sp	73.54545455	50	3	3.8375	1.465028457	1	7	-0.572	0.567
Brazil	2	Schefflera_tuberosa	Elaenia_sp	9.569620253	50	2	0.494	0.68877532	0	2	2.186	0.029
Brazil	3	Byrsonima_coccolobifolia	Elaenia_sp	37.28571429	50	1	2.7123	1.423492657	0	6	-1.203	0.229
Brazil	3	Erythroxylum_suberosum	Elaenia_sp	1.56097561	50	1	0.1169	0.336520006	0	1	2.624	0.009
Brazil	3	Miconia_albicans	Elaenia_sp	37.95192308	50	3	2.767	1.449731414	0	6	0.161	0.872
Brazil	3	Myrcia_guianensis	Elaenia_sp	65	50	3	4.7664	1.654661546	2	8	-1.068	0.286
Brazil	3	Myrcia_sp1	Elaenia_sp	1.764705882	50	1	0.1293	0.356362469	0	1	2.443	0.015
Brazil	3	Schefflera_tuberosa	Elaenia_sp	6.012658228	50	2	0.4466	0.656956314	0	2	2.365	0.018
Brazil	4	Erythroxylum_suberosum	Elaenia_sp	1.56097561	50	1	0.0578	0.23971839	0	1	3.93	0
Brazil	4	Miconia_albicans	Elaenia_sp	36.70192308	50	1	1.4104	0.999235551	0	3	-0.411	0.681
Brazil	4	Myrcia_sp1	Elaenia_sp	38.52941176	50	3	1.4956	1.017783979	0	4	1.478	0.139
Brazil	5	Miconia_albicans	Elaenia_sp	28.23076923	50	2	0.4448	0.638430669	0	2	2.436	0.015
Brazil	5	Myrcia_sp1	Elaenia_sp	145.7647059	50	3	2.2646	1.120317969	0	4	0.656	0.512
Brazil	6	Erythroxylum_campestris	Elaenia_sp	0	50	1	0	0	0	0	Inf	0
Brazil	6	Myrcia_sp1	Elaenia_sp	99.11764706	50	2	2.0956	0.801576504	0	3	-0.119	0.905
Brazil	3	Erythroxylum_suberosum	Mimus_saturninus	1.56097561	0	1	0.0106	0.1024143	0	0	9.661	0
Brazil	4	Erythroxylum_suberosum	Mimus_saturninus	1.56097561	0	1	0.0483	0.21626786	0	1	4.401	0
Brazil	4	Miconia_albicans	Mimus_saturninus	36.70192308	0	1	1.1448	0.902282867	0	3	-0.16	0.873
Brazil	4	Myrcia_guianensis	Mimus_saturninus	15	0	2	0.4661	0.643810717	0	2	2.383	0.017
Brazil	5	Byrsonima_coccolobifolia	Mimus_saturninus	132.8571429	0	6	2.8993	1.306878075	1	5	2.373	0.018
Brazil	5	Miconia_albicans	Mimus_saturninus	28.23076923	0	1	0.6077	0.746897915	0	2	0.525	0.6
Brazil	5	Miconia_albicans	Molothrus_bonariensis	28.23076923	0	1	0.0899	0.286052744	0	1	3.182	0.001
Brazil	1	Miconia_albicans	Myiarchus_ferox	77.99038462	50	2	0.8081	0.692475517	0	2	1.721	0.085
Brazil	2	Erythroxylum_suberosum	Myiarchus_ferox	2.073170732	50	1	0.0241	0.154018058	0	0	6.336	0
Brazil	2	Miconia_albicans	Myiarchus_ferox	60.68269231	50	1	0.7064	0.676790104	0	2	0.434	0.664
Brazil	3	Erythroxylum_suberosum	Myiarchus_ferox	1.56097561	50	1	0.0428	0.205359142	0	1	4.661	0
Brazil	3	Miconia_albicans	Myiarchus_ferox	37.95192308	50	1	1.0199	0.873601916	0	3	-0.023	0.982
Brazil	3	Myrcia_guianensis	Myiarchus_ferox	65	50	1	1.7212	0.986594089	0	4	-0.731	0.465
Brazil	3	Myrcia_sp1	Myiarchus_ferox	1.764705882	50	1	0.0489	0.219803597	0	1	4.327	0
Brazil	5	Myrcia_sp1	Myiarchus_ferox	145.7647059	50	1	0.4525	0.497763525	0	1	1.1	0.271
Brazil	5	Erythroxylum_suberosum	Myiodynastes_maculatus	2.292682927	30	1	0.0073	0.085131867	0	0	11.661	0
Brazil	3	Miconia_albicans	Myiophobus_fasciatus	37.95192308	20	1	0.2617	0.439582112	0	1	1.68	0.093
Brazil	1	Miconia_albicans	Nemosia_pileata	77.99038462	0	4	2.0249	1.103812407	0	4	1.789	0.074
Brazil	1	Schefflera_tuberosa	Nemosia_pileata	43.02531646	0	1	1.1191	0.930807085	0	3	-0.128	0.898
Brazil	3	Miconia_albicans	No_ID	37.95192308	NA	1	0.2543	0.435488777	0	1	1.712	0.087
Brazil	5	Erythroxylum_suberosum	Patagioenas_picazuro	2.292682927	30	1	0.0163	0.127420303	0	0	7.72	0
Brazil	5	Myrcia_sp1	Patagioenas_picazuro	145.7647059	30	1	0.9138	0.701868094	0	2	0.123	0.902
Brazil	1	Miconia_albicans	Pitangus_sulphuratus	77.99038462	30	2	2.4108	1.195653093	0	5	-0.344	0.731
Brazil	1	Myrcia_guianensis	Pitangus_sulphuratus	70	30	3	2.1855	1.160699992	0	4	0.702	0.483
Brazil	1	Eugenia_2sp	Pitangus_sulphuratus	1	30	1	0.0355	0.187731921	0	1	5.138	0
Brazil	2	Miconia_albicans	Pitangus_sulphuratus	60.68269231	30	3	1.0732	0.833733333	0	3	2.311	0.021
Brazil	3	Byrsonima_coccolobifolia	Pitangus_sulphuratus	37.28571429	30	2	3.2315	1.55574734	1	6	-0.792	0.428
Brazil	3	Miconia_albicans	Pitangus_sulphuratus	37.95192308	30	4	3.2689	1.563533579	1	6.025	0.468	0.64
Brazil	3	Myrcia_guianensis	Pitangus_sulphuratus	65	30	6	5.6226	1.793067413	2	9	0.21	0.834
Brazil	3	Schefflera_tuberosa	Pitangus_sulphuratus	6.012658228	30	1	0.5242	0.711663549	0	2	0.669	0.503
Brazil	4	Byrsonima_coccolobifolia	Pitangus_sulphuratus	36.42857143	30	1	7.2696	2.293783334	3	12	-2.733	0.006
Brazil	4	Erythroxylum_suberosum	Pitangus_sulphuratus	1.56097561	30	7	0.3211	0.561984317	0	2	11.884	0
Brazil	4	Lantana_camara	Pitangus_sulphuratus	1.111111111	30	2	0.2213	0.4681327	0	1	3.8	0
Brazil	4	Miconia_albicans	Pitangus_sulphuratus	36.70192308	30	10	7.3871	2.308936272	3	12	1.132	0.258
Brazil	4	Myrcia_guianensis	Pitangus_sulphuratus	15	30	6	3.0368	1.628468898	0	7	1.82	0.069
Brazil	5	Byrsonima_coccolobifolia	Pitangus_sulphuratus	132.8571429	30	9	21.8984	3.567765454	15	29	-3.615	0
Brazil	5	Erythroxylum_suberosum	Pitangus_sulphuratus	2.292682927	30	6	0.3795	0.616699101	0	2	9.114	0
Brazil	5	Miconia_albicans	Pitangus_sulphuratus	28.23076923	30	17	4.6817	2.076395013	1	9	5.933	0
Brazil	5	Myrcia_guianensis	Pitangus_sulphuratus	11.36363636	30	2	1.8932	1.349879986	0	5	0.079	0.937
Brazil	5	Myrcia_sp1	Pitangus_sulphuratus	145.7647059	30	16	24.0479	3.608892905	17	31	-2.23	0.026
Brazil	5	Rubiaceae_sp	Pitangus_sulphuratus	0.333333333	30	3	0.0574	0.240647109	0	1	12.228	0
Brazil	6	Byrsonima_coccolobifolia	Pitangus_sulphuratus	27.0952381	30	2	0.9534	0.87641614	0	3	1.194	0.232
Brazil	6	Erythroxylum_suberosum	Pitangus_sulphuratus	2.56097561	30	1	0.0897	0.295063749	0	1	3.085	0.002
Brazil	6	Miconia_albicans	Pitangus_sulphuratus	11.375	30	2	0.4017	0.609568919	0	2	2.622	0.009
Brazil	3	Myrcia_guianensis	Ramphastos_toco	65	70	3	1.3084	0.852386119	0	3	1.985	0.047
Brazil	4	Myrcia_guianensis	Ramphastos_toco	15	70	1	0.1153	0.319399611	0	1	2.77	0.006
Brazil	6	Myrcia_sp1	Ramphastos_toco	99.11764706	70	2	1.3952	0.647965235	0	2	0.933	0.351
Brazil	4	Miconia_albicans	Ramphocelus_carbo	36.70192308	50	1	0.5661	0.63817828	0	2	0.68	0.497
Brazil	4	Miconia_sp	Ramphocelus_carbo	0.166666667	50	1	0.0027	0.051893924	0	0	19.218	0
Brazil	5	Miconia_albicans	Ramphocelus_carbo	28.23076923	50	1	0.2547	0.482131886	0	1	1.546	0.122
Brazil	5	Myrcia_sp1	Ramphocelus_carbo	145.7647059	50	2	1.3762	0.867495715	0	3	0.719	0.472
Brazil	6	Miconia_albicans	Ramphocelus_carbo	11.375	50	4	0.3931	0.601338965	0	2	5.998	0
Brazil	6	Myrcia_sp1	Ramphocelus_carbo	99.11764706	50	1	3.5275	1.018895267	1	5	-2.481	0.013
Brazil	1	Miconia_albicans	Schistochlamys_ruficapillus	77.99038462	50	1	0.4005	0.490024247	0	1	1.223	0.221
Brazil	4	Byrsonima_coccolobifolia	Schistochlamys_ruficapillus	36.42857143	50	1	2.521	1.344447751	0	5	-1.131	0.258
Brazil	4	Miconia_albicans	Schistochlamys_ruficapillus	36.70192308	50	4	2.5747	1.361838966	0	5	1.047	0.295
Brazil	4	Myrcia_guianensis	Schistochlamys_ruficapillus	15	50	2	1.0235	0.956053949	0	3	1.021	0.307
Brazil	4	Myrcia_sp1	Schistochlamys_ruficapillus	38.52941176	50	2	2.6888	1.363356312	0	5	-0.505	0.614
Brazil	5	Byrsonima_coccolobifolia	Schistochlamys_ruficapillus	132.8571429	50	2	3.7089	1.48626434	1	7	-1.15	0.25
Brazil	5	Lantana_camara	Schistochlamys_ruficapillus	0.259259259	50	3	0.0061	0.079141748	0	0	37.83	0
Brazil	5	Miconia_albicans	Schistochlamys_ruficapillus	28.23076923	50	1	0.7914	0.864731644	0	3	0.241	0.81
Brazil	5	Myrcia_sp1	Schistochlamys_ruficapillus	145.7647059	50	3	4.1016	1.516742394	1	7	-0.726	0.468
Brazil	6	Annona	Schistochlamys_ruficapillus	1	50	1	0.0155	0.12434346	0	0	7.918	0
Brazil	6	Myrcia_sp1	Schistochlamys_ruficapillus	99.11764706	50	1	1.4107	0.646426559	0	2	-0.635	0.525
Brazil	1	Miconia_albicans	Tangara_cayana	77.99038462	90	7	3.6228	1.468787219	1	7	2.299	0.022
Brazil	1	Myrcia_guianensis	Tangara_cayana	70	90	1	3.2694	1.432001642	1	6	-1.585	0.113
Brazil	1	Schefflera_tuberosa	Tangara_cayana	43.02531646	90	1	2.0076	1.244948686	0	5	-0.809	0.419
Brazil	2	Byrsonima_coccolobifolia	Tangara_cayana	25.85714286	90	1	1.9588	1.303945009	0	5	-0.735	0.462
Brazil	2	Miconia_albicans	Tangara_cayana	60.68269231	90	8	4.5853	1.737707073	1	8	1.965	0.049
Brazil	2	Myrcia_guianensis	Tangara_cayana	73.54545455	90	3	5.5521	1.800224895	2	9	-1.418	0.156
Brazil	2	Smilax_1sp	Tangara_cayana	0.363636364	90	1	0.0277	0.167139174	0	1	5.817	0
Brazil	3	Byrsonima_coccolobifolia	Tangara_cayana	37.28571429	90	6	3.7006	1.686844446	1	7	1.363	0.173
Brazil	3	Myrcia_guianensis	Tangara_cayana	65	90	9	6.4792	1.90838454	3	10	1.321	0.187
Brazil	4	Miconia_albicans	Tangara_cayana	36.70192308	90	2	0.5671	0.643847066	0	2	2.226	0.026
Brazil	5	Byrsonima_coccolobifolia	Tangara_cayana	132.8571429	90	1	4.1345	1.547206882	1	7	-2.026	0.043
Brazil	5	Miconia_albicans	Tangara_cayana	28.23076923	90	2	0.8835	0.913023062	0	3	1.223	0.221
Brazil	5	Myrcia_sp1	Tangara_cayana	145.7647059	90	7	4.5314	1.570687985	2	8	1.572	0.116
Brazil	6	Byrsonima_coccolobifolia	Tangara_cayana	27.0952381	90	3	0.7521	0.77788566	0	2	2.89	0.004
Brazil	6	Myrcia_sp1	Tangara_cayana	99.11764706	90	1	2.8181	0.907245667	1	4	-2.004	0.045
Brazil	1	Miconia_albicans	Thraupis_sayaca	77.99038462	50	5	3.6541	1.450676958	1	7	0.928	0.353
Brazil	1	Myrcia_guianensis	Thraupis_sayaca	70	50	3	3.254	1.437251046	1	6	-0.177	0.86
Brazil	1	Erythroxylum_suberosum	Thraupis_sayaca	1.024390244	50	1	0.0451	0.210880149	0	1	4.528	0
Brazil	2	Byrsonima_coccolobifolia	Thraupis_sayaca	25.85714286	50	2	1.7971	1.249034667	0	4	0.162	0.871
Brazil	2	Miconia_albicans	Thraupis_sayaca	60.68269231	50	4	4.2521	1.657594749	1	8	-0.152	0.879
Brazil	2	Myrcia_guianensis	Thraupis_sayaca	73.54545455	50	4	5.1079	1.723065433	2	9	-0.643	0.52
Brazil	2	Smilax_1sp	Thraupis_sayaca	0.363636364	50	2	0.0252	0.159898458	0	0	12.35	0
Brazil	3	Myrcia_guianensis	Thraupis_sayaca	65	50	4	1.7231	0.990820146	0	4	2.298	0.022
Brazil	4	Byrsonima_coccolobifolia	Thraupis_sayaca	36.42857143	50	3	6.4824	2.165631371	2	11	-1.608	0.108
Brazil	4	Erythroxylum_suberosum	Thraupis_sayaca	1.56097561	50	1	0.2727	0.523604933	0	2	1.389	0.165
Brazil	4	Miconia_albicans	Thraupis_sayaca	36.70192308	50	5	6.5222	2.148480569	3	11	-0.709	0.478
Brazil	4	Myrcia_guianensis	Thraupis_sayaca	15	50	5	2.6732	1.545522767	0	6	1.506	0.132
Brazil	4	Myrcia_sp1	Thraupis_sayaca	38.52941176	50	9	6.8183	2.213453195	3	11	0.986	0.324
Brazil	5	Byrsonima_coccolobifolia	Thraupis_sayaca	132.8571429	50	8	12.4124	2.722841829	7	18	-1.621	0.105
Brazil	5	Miconia_albicans	Thraupis_sayaca	28.23076923	50	5	2.6287	1.542359944	0	6	1.537	0.124
Brazil	5	Myrcia_sp1	Thraupis_sayaca	145.7647059	50	17	13.63	2.73138171	8	19	1.234	0.217
Brazil	6	Byrsonima_coccolobifolia	Thraupis_sayaca	27.0952381	50	12	4.8375	1.981738247	1	9	3.614	0
